Rank,Handle,Points,Accuracy,Last Correct Submission,Completion
1,OmicronOmega [WGU],260,100.00%,4 days ago,91.67%
2,Flag Capture Enthusiast [WGU],260,84.62%,3 days ago,91.67%
3,Odyhibit | WGU,235,100.00%,4 days ago,91.67%
4,DrFalken,160,100.00%,4 days ago,83.33%
5,RowPoe | WGU,160,90.91%,3 days ago,83.33%
6,Jeek,110,90.00%,5 days ago,75.00%
7,w33t | WGU | EPRI,100,100.00%,5 days ago,66.67%
8,Doulos | WGU,100,100.00%,5 days ago,66.67%
9,varX,100,100.00%,5 days ago,66.67%
10,sandStorm,100,100.00%,5 days ago,66.67%
11,Derek C | WGU,100,100.00%,4 days ago,66.67%
12,KDIT | WGU,100,100.00%,4 days ago,66.67%
13,Petey_P | WGU,100,100.00%,4 days ago,66.67%
14,SebT | WGU,100,88.89%,5 days ago,66.67%
15,h,100,88.89%,4 days ago,66.67%
16,Elzrath,100,80.00%,4 days ago,66.67%
17,Vyliam,100,80.00%,4 days ago,66.67%
18,Jay Torres | WGU,100,80.00%,4 days ago,66.67%
19,rfre,100,72.73%,4 days ago,66.67%
20,Steve0ro,100,66.67%,5 days ago,66.67%
21,BWise | WGU,100,50.00%,5 days ago,66.67%
22,thepaperrose,95,80.00%,4 days ago,66.67%
23,sw00z | WGU,90,100.00%,3 days ago,75.00%
24,McTwisp,85,87.50%,3 days ago,58.33%
25,YungKev313,80,100.00%,3 days ago,66.67%
26,cyberwhimsy,80,80.00%,5 days ago,66.67%
27,hetzipickle,75,100.00%,4 days ago,50.00%
28,Sharri,70,100.00%,5 days ago,50.00%
29,Kin3tic | WGU,70,60.00%,3 days ago,50.00%
30,AStowe,60,55.56%,4 days ago,41.67%
