Rank,Handle,Points,Accuracy,Last Correct Submission,Completion
1,RowPoe | WGU,295,88.89%,3 days ago,100.00%
2,Flag Capture Enthusiast [WGU],295,85.71%,3 days ago,100.00%
3,Jay Torres | WGU,295,80.00%,3 days ago,100.00%
4,w33t | WGU | EPRI,295,77.42%,4 days ago,100.00%
5,McTwisp,285,95.83%,3 days ago,95.83%
6,KDIT | WGU,280,95.83%,5 days ago,95.83%
7,OmicronOmega [WGU],280,95.83%,4 days ago,95.83%
8,Elzrath,280,76.67%,4 days ago,95.83%
9,Derek C | WGU,280,76.67%,3 days ago,95.83%
10,DrFalken,265,100.00%,5 days ago,91.67%
11,Jeek,265,91.67%,5 days ago,91.67%
12,Doulos | WGU,265,75.86%,5 days ago,91.67%
13,Vyliam,255,77.78%,4 days ago,87.50%
14,Odyhibit | WGU,250,77.78%,3 days ago,87.50%
15,Kin3tic | WGU,250,72.41%,3 days ago,87.50%
16,h,240,100.00%,4 days ago,83.33%
17,varX,240,66.67%,4 days ago,83.33%
18,cyberwhimsy,240,61.76%,3 days ago,87.50%
19,hetzipickle,230,82.61%,4 days ago,79.17%
20,rfre,225,86.36%,5 days ago,79.17%
21,Petey_P | WGU,220,90.48%,4 days ago,79.17%
22,thepaperrose,205,94.74%,4 days ago,75.00%
23,Sharri,200,78.26%,3 days ago,75.00%
24,BWise | WGU,180,45.71%,5 days ago,66.67%
25,SebT | WGU,170,71.43%,5 days ago,62.50%
26,AStowe,135,52.00%,3 days ago,54.17%
27,Steve0ro,120,30.00%,3 days ago,50.00%
28,Wildcard,100,68.75%,4 days ago,45.83%
29,sw00z | WGU,85,83.33%,3 days ago,41.67%
30,Silara,85,76.92%,3 days ago,41.67%
31,YungKev313,80,90.00%,5 days ago,37.50%
32,sandStorm,60,63.64%,5 days ago,29.17%
33,Arkitek,30,100.00%,4 days ago,16.67%
34,aero,15,100.00%,4 days ago,12.50%
35,M3RL1N,5,100.00%,3 days ago,4.17%
36,Ouch!,0,100.00%,4 days ago,12.50%
